Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
fielueux;0;1.000;1.000;0.000;0.750;0.750;0.000
félicité;2192;0.030;0.030;0.000;0.900;0.900;0.000
heur;5183;0.327;0.098;-0.229;0.750;0.750;0.000
hypocondrie;1189;0.462;0.442;-0.020;0.750;0.750;0.000
idylle;3034;0.010;0.010;0.000;0.750;0.750;0.000
indolence;2700;0.040;0.040;0.000;0.900;0.900;0.000
inextinguible;1428;0.285;0.235;-0.050;0.750;0.750;0.000
inimitié;2302;0.235;0.119;-0.116;0.750;0.750;0.000
insatiable;1262;0.050;0.050;0.000;0.750;0.750;0.000
insouciance;900;0.060;0.060;0.000;0.900;0.900;0.000
jubilation;575;0.050;0.050;0.000;0.900;0.900;0.000
langoureux;1871;0.084;0.050;-0.034;0.750;0.750;0.000
langueur;3434;0.030;0.030;0.000;0.750;0.750;0.000
lascif;2950;0.215;0.170;-0.045;0.750;0.750;0.000
léthargie;1431;0.040;0.040;0.000;0.750;0.750;0.000
miséricorde;3105;0.060;0.060;0.000;0.750;0.750;0.000
morose;2113;0.010;0.010;0.000;0.750;0.750;0.000
mélancolie;2688;0.050;0.050;0.000;0.750;0.748;-0.002
neurasthénie;1353;0.162;0.149;-0.013;0.750;0.750;0.000
neurasthénique;1093;0.233;0.222;-0.011;0.800;0.800;0.000
nostalgie;3284;0.040;0.040;0.000;0.750;0.750;0.000
nostalgique;766;0.060;0.060;0.000;0.800;0.800;0.000
noévie;0;1.000;1.000;0.000;0.750;0.750;0.000
parapathique;0;1.000;1.000;0.000;0.800;0.800;0.000
paresthésie;395;0.822;0.822;0.000;0.750;0.750;0.000
perplexité;925;0.050;0.050;0.000;0.900;0.900;0.000
placidité;550;0.040;0.040;0.000;0.900;0.900;0.000
pétulant;1414;0.483;0.442;-0.041;0.750;0.750;0.000
quiétude;1541;0.030;0.030;0.000;0.900;0.900;0.000
résilience;4088;0.050;0.382;0.332;0.900;0.900;0.000
solitaire;1503;0.040;0.040;0.000;0.800;0.538;-0.262
somatisation;225;0.667;0.667;0.000;0.900;0.900;0.000
spleen;3463;0.091;0.039;-0.052;0.750;0.750;0.000
spleenétique;155;1.000;1.000;0.000;0.800;0.800;0.000
stupeur;2084;0.020;0.020;0.000;0.750;0.725;-0.025
