mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire
spiritueux;1.0;0.6514;2.785;1.488;archaïque;Esprit & Caractère
sente;1.0;0.6504;3.362;32.857;littéraire;Sentiments & Psyché
boiteux;1.0;0.6502;3.348;1.104;poétique;Esprit & Caractère
sylvestre;1.0;0.6489;2.908;3.522;littéraire;Nature & Cosmos
sourdre;1.0;0.6488;3.538;10.0;littéraire;Sentiments & Psyché
violette;1.0;0.6484;3.642;3.752;poétique;Nature & Cosmos
gémissement;1.0;0.6472;3.969;9.608;poétique;Sentiments & Psyché
jaculatoire;1.0;0.6472;1.845;10.0;littéraire;Art & Langage
vomissure;1.0;0.646;2.908;2.455;soutenu;Sentiments & Psyché
hyménée;1.0;0.6454;1.845;10.0;poétique;Nature & Cosmos
chaume;1.0;0.6449;3.687;13.5;poétique;Nature & Cosmos
septante;1.0;0.6443;1.845;0.636;archaïque;Nature & Cosmos
exultation;1.0;0.6441;2.833;13.6;littéraire;Sentiments & Psyché
songerie;1.0;0.642;2.944;44.0;littéraire;Art & Langage
immarcescible;1.0;0.6417;1.845;10.0;littéraire;Temps & Éphémère
désobligeance;1.0;0.6413;2.146;10.0;soutenu;Esprit & Caractère
décombre;1.0;0.6411;3.816;6.009;littéraire;Sentiments & Psyché
érotique;1.0;0.6406;3.775;1.957;littéraire;Art & Langage
impécuniosité;1.0;0.6405;1.845;10.0;littéraire;Esprit & Caractère
perruque;1.0;0.6397;3.847;0.875;poétique;Art & Langage
courtisan;1.0;0.6393;3.32;3.167;soutenu;Esprit & Caractère
enrhumé;1.0;0.6389;2.908;3.857;littéraire;Sentiments & Psyché
éminent;1.0;0.6389;3.307;1.223;soutenu;Esprit & Caractère
foucade;1.0;0.6386;2.531;10.0;littéraire;Lumière & Ombres
déconcerter;1.0;0.6379;3.152;7.474;littéraire;Sentiments & Psyché
sagette;1.0;0.6374;1.845;10.0;poétique;Esprit & Caractère
sollicitation;1.0;0.6369;3.228;50.0;littéraire;Sentiments & Psyché
