Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
branchage	2.51	1.40	0.7679	3.41	3.53	0.1862
branche	4.45	1.30	-0.9485	6.55	0.83	-0.0428
bras	5.47	1.41	1.0730	6.77	0.31	0.2530
brasier	2.18	1.16	-0.2813	3.86	3.31	-0.2576
bravoure	2.62	1.07	-1.5935	2.75	2.25	-0.5992
bretelle	3.19	1.38	-0.2233	5.94	1.99	-0.3894
bribe	2.08	1.42	1.7271	2.00	2.10	0.2697
brigade	2.72	1.22	-0.8156	3.62	3.28	-0.2245
brigadière	2.65	1.41	0.6264	5.08	3.31	0.0087
brindille	2.59	1.31	-0.0139	4.97	3.84	0.6079
brioche	3.05	1.30	-0.6694	6.04	2.62	0.2610
brique	3.82	1.22	-1.6442	6.72	0.34	0.1618
brise	4.04	1.71	2.2133	3.90	2.96	-0.6577
brocanteur	1.56	0.80	-0.7075	2.31	3.20	0.8451
broche	3.51	1.47	0.2540	5.80	2.07	-0.5016
brochet	2.73	1.50	1.2159	5.30	4.00	1.0591
brochette	3.59	1.54	0.7855	6.07	1.42	-0.5589
brochure	3.62	1.30	-1.0560	5.45	2.25	-0.7383
brocoli	4.66	1.56	1.2017	6.81	0.32	0.3307
broderie	2.72	1.23	-0.7498	5.13	2.37	-0.9004
brosse	5.19	1.41	0.6183	6.25	0.90	-0.5078
brosse à dents	6.05	1.20	0.8308	6.94	0.05	0.5690
brouette	3.18	1.30	-0.7906	6.47	1.19	-0.0512
