word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
calèche,3.2400,1.3200,2.4436,3.5105,3.1206,NOM,debutant
comparable,4.7300,1.9300,2.4433,3.6749,3.2856,ADJ,debutant
arabe,31.7600,13.0000,2.4420,4.5019,4.1139,"ADJ, NOM",debutant
grossièreté,4.8000,1.9600,2.4416,3.6812,3.2923,NOM,debutant
retraité,3.9200,1.6000,2.4410,3.5933,3.2041,"ADJ, NOM",debutant
aristocratie,3.9200,1.6000,2.4410,3.5933,3.2041,NOM,debutant
abomination,3.0400,1.2400,2.4400,3.4829,3.0934,NOM,debutant
imprenable,1.8200,0.7400,2.4400,3.2601,2.8692,ADJ,intermediaire
inachevé,3.0400,1.2400,2.4400,3.4829,3.0934,ADJ,debutant
manier,7.2300,2.9600,2.4377,3.8591,3.4713,VER,debutant
écarté,1.5500,0.6300,2.4375,3.1903,2.7993,"ADJ, NOM",intermediaire
élaborer,1.5500,0.6300,2.4375,3.1903,2.7993,VER,intermediaire
assiette,36.2800,14.8800,2.4372,4.5597,4.1726,NOM,debutant
vestiaire,9.8600,4.0400,2.4370,3.9939,3.6064,NOM,debutant
inspiration,17.1600,7.0400,2.4355,4.2345,3.8476,NOM,debutant
assaut,27.3600,11.2300,2.4351,4.4371,4.0504,NOM,debutant
arcade,2.2300,0.9100,2.4348,3.3483,2.9590,NOM,intermediaire
astiquer,2.2300,0.9100,2.4348,3.3483,2.9590,VER,intermediaire
fracasser,2.2300,0.9100,2.4348,3.3483,2.9590,VER,intermediaire
appartenir,9.1200,3.7400,2.4347,3.9600,3.5729,VER,debutant
irascible,1.2800,0.5200,2.4340,3.1072,2.7160,ADJ,intermediaire
consoler,16.1500,6.6300,2.4337,4.2082,3.8215,VER,debutant
aventure,54.8600,22.5400,2.4333,4.7393,4.3530,NOM,debutant
portion,5.6100,2.3000,2.4329,3.7490,3.3617,NOM,debutant
mythologique,1.6200,0.6600,2.4328,3.2095,2.8195,ADJ,intermediaire
angoissant,1.9600,0.8000,2.4321,3.2923,2.9031,ADJ,intermediaire
supplémentaire,10.2000,4.1900,2.4310,4.0086,3.6222,ADJ,debutant
collaboration,12.4300,5.1100,2.4297,4.0945,3.7084,NOM,debutant
obscène,7.9100,3.2500,2.4294,3.8982,3.5119,ADJ,debutant
manière,134.6600,55.4300,2.4291,5.1292,4.7437,NOM,debutant
manie,13.1800,5.4200,2.4291,4.1199,3.7340,NOM,debutant
aventureux,1.6900,0.6900,2.4286,3.2279,2.8388,ADJ,intermediaire
contracté,1.0100,0.4100,2.4286,3.0043,2.6128,ADJ,intermediaire
gestapo,1.6900,0.6900,2.4286,3.2279,2.8388,NOM,intermediaire
gnouf,1.0100,0.4100,2.4286,3.0043,2.6128,NOM,intermediaire
impureté,1.0100,0.4100,2.4286,3.0043,2.6128,NOM,intermediaire
oeuvrer,1.0100,0.4100,2.4286,3.0043,2.6128,VER,intermediaire
