mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
servilité;0.7985;0.6571;1.0;3.061;50.0;littéraire;Sentiments & Psyché;non;Excellent
obligeance;0.7981;0.5963;1.0;3.19;1.845;soutenu;Sentiments & Psyché;non;Excellent
saphisme;0.798;0.656;1.0;1.845;10.0;littéraire;Philosophie & Idées;non;Excellent
obligeant;0.798;0.596;1.0;3.033;6.353;soutenu;Esprit & Caractère;non;Excellent
luminaire;0.7975;0.6551;1.0;2.613;8.2;littéraire;Art & Langage;non;Excellent
septentrion;0.7974;0.5948;1.0;1.845;0.438;soutenu;Nature & Cosmos;non;Excellent
suspicieux;0.7973;0.6547;1.0;2.732;0.831;littéraire;Esprit & Caractère;non;Excellent
énervé;0.7972;0.6543;1.0;3.334;0.943;littéraire;Sentiments & Psyché;non;Excellent
interlope;0.7971;0.5943;1.0;2.531;10.0;soutenu;Esprit & Caractère;non;Excellent
semblance;0.7965;0.6529;1.0;2.431;13.5;littéraire;Sentiments & Psyché;non;Excellent
émasculer;0.7964;0.6527;1.0;2.146;4.667;littéraire;Art & Langage;non;Excellent
sente;0.7952;0.6504;1.0;3.362;32.857;littéraire;Sentiments & Psyché;non;Excellent
sylvestre;0.7945;0.6489;1.0;2.908;3.522;littéraire;Nature & Cosmos;non;Excellent
jaculatoire;0.7936;0.6472;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
exultation;0.7921;0.6441;1.0;2.833;13.6;littéraire;Sentiments & Psyché;non;Excellent
songerie;0.791;0.642;1.0;2.944;44.0;littéraire;Art & Langage;non;Excellent
immarcescible;0.7908;0.6417;1.0;1.845;10.0;littéraire;Temps & Éphémère;non;Excellent
impécuniosité;0.7903;0.6405;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
enrhumé;0.7895;0.6389;1.0;2.908;3.857;littéraire;Sentiments & Psyché;non;Excellent
foucade;0.7893;0.6386;1.0;2.531;10.0;littéraire;Lumière & Ombres;non;Excellent
déconcerter;0.7889;0.6379;1.0;3.152;7.474;littéraire;Sentiments & Psyché;non;Excellent
sollicitation;0.7885;0.6369;1.0;3.228;50.0;littéraire;Sentiments & Psyché;non;Excellent
vénusté;0.7884;0.6369;1.0;2.531;10.0;littéraire;Nature & Cosmos;non;Excellent
verbe;0.7882;0.6814;0.85;3.923;5.048;littéraire+soutenu;Art & Langage;non;Excellent
contempteur;0.7879;0.6358;1.0;2.431;27.0;littéraire;Esprit & Caractère;non;Excellent
fantasquement;0.7877;0.6354;1.0;1.845;10.0;littéraire;Sentiments & Psyché;non;Excellent
périphrase;0.7875;0.6351;1.0;2.146;1.273;littéraire;Art & Langage;non;Excellent
spondée;0.7874;0.6348;1.0;1.845;10.0;littéraire;Nature & Cosmos;non;Excellent
incréé;0.787;0.6339;1.0;2.146;10.0;littéraire;Esprit & Caractère;non;Excellent
